amount=300
max_size=500
max_weight=25
node,pos_x,pos_y,weight
1,-108,-309,5
2,-185,-93,8
3,31,161,25
4,-244,306,2
5,-89,-256,7
6,-270,-451,20
7,-441,-352,12
8,1,-279,9
9,261,361,7
10,227,237,8
11,-393,334,16
12,-275,459,7
13,190,-292,25
14,480,14,22
15,-394,304,11
16,355,-406,11
17,-157,168,17
18,358,-462,3
19,-141,-83,9
20,-323,-378,25
21,40,4,11
22,67,-456,8
23,161,251,6
24,210,-230,16
25,424,-329,19
26,-215,-52,21
27,259,-231,13
28,313,-484,16
29,-267,-14,2
30,232,-160,21
31,11,-241,21
32,-406,-306,7
33,381,-245,25
34,-491,-70,7
35,-51,397,24
36,200,-351,19
37,453,415,15
38,-393,-456,16
39,-193,305,15
40,143,-354,6
41,125,316,7
42,-147,-415,1
43,-444,-271,15
44,-54,-238,25
45,126,-344,7
46,-49,476,25
47,480,478,10
48,495,450,24
49,-326,-266,3
50,-461,-321,18
51,203,-436,2
52,-123,-228,16
53,46,-313,14
54,-245,120,7
55,355,317,12
56,-210,-83,8
57,-370,388,3
58,-317,-472,11
59,-93,228,16
60,-166,453,24
61,200,-375,1
62,-78,391,16
63,-69,46,2
64,376,42,2
65,-27,-236,5
66,-266,63,17
67,160,-43,1
68,-466,326,12
69,-424,65,0
70,-491,73,13
71,-300,-351,25
72,-163,425,14
73,-357,214,3
74,-374,-422,6
75,-134,456,2
76,218,-134,22
77,66,-121,17
78,201,-290,22
79,-63,-58,11
80,-315,75,13
81,-268,-116,9
82,-224,480,20
83,403,110,2
84,313,318,19
85,-496,-348,22
86,104,-227,4
87,-319,206,12
88,-451,291,7
89,3,-344,25
90,57,409,5
91,233,165,14
92,-376,-230,5
93,456,-421,13
94,451,-258,19
95,50,450,5
96,-422,73,16
97,-85,243,22
98,389,-399,6
99,330,278,19
100,144,111,12
101,-349,75,16
102,-29,-184,5
103,-434,-238,7
104,120,463,17
105,-232,31,20
106,263,-254,2
107,472,138,16
108,97,156,19
109,-151,315,14
110,360,461,3
111,3,-492,19
112,-186,-52,6
113,-331,-382,5
114,492,148,9
115,230,12,6
116,-378,243,6
117,-420,-128,5
118,-56,260,14
119,-493,-236,23
120,-362,278,17
121,-198,-142,19
122,364,-148,22
123,35,272,10
124,-224,85,8
125,474,399,17
126,370,-371,24
127,-33,7,24
128,-414,-382,24
129,147,-146,7
130,498,-358,12
131,-117,-318,12
132,261,390,12
133,393,-21,9
134,-182,201,10
135,-434,100,14
136,-20,-400,22
137,11,229,21
138,203,454,23
139,282,316,5
140,-102,-211,23
141,-483,242,3
142,365,-166,0
143,-296,143,3
144,-244,163,6
145,293,182,17
146,-23,268,17
147,291,-35,16
148,-284,401,8
149,-11,-220,8
150,90,-103,6
151,58,182,3
152,484,-500,0
153,-459,470,5
154,-262,-12,2
155,156,120,8
156,-194,495,0
157,148,200,12
158,423,369,19
159,-140,56,12
160,-261,-89,19
161,-141,-340,14
162,240,40,15
163,-46,352,9
164,-328,50,11
165,417,-216,18
166,-179,436,7
167,-450,414,21
168,-492,-417,21
169,-387,-476,4
170,-483,-169,6
171,-450,128,12
172,-456,69,12
173,27,189,11
174,-234,456,3
175,-195,415,23
176,-482,-233,10
177,353,-452,5
178,492,497,9
179,471,-486,10
180,369,241,2
181,231,415,11
182,333,182,3
183,-93,320,15
184,-88,424,16
185,20,-284,20
186,-379,-200,9
187,38,-465,12
188,140,-98,7
189,-158,454,8
190,326,440,21
191,92,-188,25
192,164,226,3
193,471,434,14
194,372,-187,18
195,27,-165,25
196,435,-294,20
197,-425,478,17
198,-297,60,25
199,455,-26,12
200,-121,457,10
201,223,146,23
202,-440,52,18
203,225,-468,11
204,-173,-469,13
205,46,98,21
206,252,101,7
207,-362,396,18
208,-10,296,19
209,-212,443,25
210,233,-200,13
211,411,-395,18
212,-346,132,23
213,-214,-282,10
214,365,-306,11
215,-294,474,22
216,233,494,23
217,-133,9,6
218,70,232,6
219,200,258,25
220,442,-391,2
221,-55,434,22
222,184,-321,3
223,488,314,20
224,-96,454,2
225,-267,492,8
226,249,310,5
227,97,-230,4
228,-338,-344,25
229,-92,-101,18
230,-267,-417,13
231,-142,26,22
232,-196,-215,16
233,-439,-22,24
234,416,356,25
235,-170,-51,5
236,-289,-417,1
237,434,76,6
238,-285,-491,5
239,-304,90,15
240,217,112,6
241,196,-430,2
242,114,299,13
243,-35,10,19
244,-66,-370,0
245,342,-41,14
246,60,-305,9
247,-391,-468,0
248,307,-19,12
249,233,14,20
250,236,196,20
251,444,430,5
252,320,474,8
253,2,-468,24
254,-180,467,2
255,-174,61,6
256,326,34,11
257,-251,339,23
258,-301,-472,11
259,-289,-296,19
260,-183,-251,1
261,-289,-306,20
262,257,170,8
263,352,198,16
264,-269,407,5
265,276,-390,24
266,217,-1,20
267,229,475,6
268,-449,-2,14
269,451,357,15
270,124,-362,7
271,187,318,18
272,-228,154,4
273,-291,173,11
274,200,-315,0
275,325,-472,24
276,-312,77,12
277,-126,-182,25
278,420,360,16
279,56,74,6
280,278,-191,8
281,155,-56,8
282,-7,198,18
283,-184,356,24
284,-232,364,6
285,-363,155,24
286,317,-412,13
287,46,447,8
288,414,-259,4
289,298,-434,3
290,-489,399,7
291,88,309,10
292,412,365,1
293,-469,423,9
294,-94,-288,8
295,20,-44,18
296,290,59,19
297,215,-451,3
298,-171,432,3
299,78,484,9
300,-484,121,1
