amount=100
max_size=500
max_weight=25
node,pos_x,pos_y,weight
1,-146,-375,3
2,85,-319,21
3,317,-288,23
4,112,352,22
5,78,-249,5
6,200,-285,10
7,-337,345,16
8,324,293,6
9,264,-269,3
10,-32,2,4
11,-294,-64,4
12,50,-5,20
13,278,-94,21
14,-182,128,4
15,251,245,8
16,495,327,6
17,-440,-89,16
18,-382,-253,11
19,-380,-425,19
20,-251,-374,12
21,298,324,8
22,69,-232,19
23,-206,-195,13
24,452,131,24
25,353,-480,21
26,-289,-120,7
27,-424,81,11
28,224,77,2
29,61,-351,14
30,415,-255,10
31,-498,268,9
32,338,103,19
33,123,180,11
34,245,451,9
35,-289,378,22
36,-91,-459,4
37,486,-8,1
38,-233,369,10
39,23,-466,19
40,273,322,8
41,101,-148,0
42,44,123,21
43,-191,-3,5
44,-490,-149,9
45,-12,-500,8
46,74,65,13
47,-226,50,21
48,481,-377,23
49,-452,-332,12
50,103,80,10
51,402,-73,21
52,-212,-209,9
53,35,242,13
54,294,-300,3
55,155,317,25
56,-37,-65,10
57,-12,69,9
58,263,-453,18
59,-325,-453,9
60,-352,444,23
61,-40,-345,5
62,122,-211,5
63,440,-182,24
64,467,256,4
65,-174,-380,5
66,-33,442,4
67,413,111,20
68,-154,163,23
69,82,463,4
70,-43,11,7
71,-326,229,19
72,99,-318,25
73,14,-171,2
74,-391,100,19
75,291,-133,8
76,-227,-323,2
77,-39,-13,5
78,61,412,21
79,394,-366,10
80,206,372,7
81,-46,436,22
82,-442,-454,11
83,-28,-76,14
84,-443,367,6
85,34,94,13
86,-325,-24,8
87,465,-86,22
88,135,-248,2
89,221,-208,17
90,-222,-234,24
91,-401,-144,20
92,473,-395,4
93,170,181,20
94,-167,65,10
95,-497,66,18
96,-174,-222,21
97,449,235,17
98,411,-357,21
99,-228,284,0
100,-182,-131,14
