amount=100
max_size=500
max_weight=200
node,pos_x,pos_y,weight
1,456,-283,74
2,245,-26,22
3,235,360,122
4,301,5,146
5,-9,-459,120
6,96,227,97
7,-36,-380,178
8,-416,-408,89
9,384,283,69
10,90,-466,47
11,395,-236,60
12,-387,-68,190
13,-9,468,19
14,-75,-392,92
15,231,-402,11
16,-292,-102,146
17,220,24,130
18,416,-132,140
19,258,335,137
20,-369,273,94
21,372,-172,3
22,-74,-424,69
23,367,97,74
24,418,-373,46
25,-401,-283,20
26,-294,147,27
27,86,-236,164
28,-485,197,51
29,19,-56,197
30,-393,317,164
31,243,100,109
32,403,-396,33
33,-102,-427,48
34,-487,55,53
35,238,79,140
36,-5,338,69
37,-192,447,114
38,-374,-371,175
39,286,187,93
40,257,392,63
41,-17,-477,89
42,187,18,25
43,384,-380,168
44,-102,-252,57
45,86,-63,158
46,32,-179,58
47,-217,-35,24
48,369,264,138
49,299,176,57
50,175,-49,173
51,-195,-20,10
52,-297,-315,55
53,-456,-334,148
54,360,135,11
55,-242,-410,71
56,364,-333,76
57,-237,-278,53
58,454,-85,65
59,-344,-468,129
60,-321,353,88
61,283,309,7
62,380,-120,195
63,-35,-179,197
64,-478,388,187
65,259,-139,197
66,-167,413,22
67,147,176,169
68,369,52,192
69,-432,-447,67
70,113,416,171
71,-87,382,30
72,242,-133,36
73,-489,-63,21
74,437,31,41
75,-67,-247,54
76,-62,380,70
77,190,-134,104
78,-299,480,125
79,-183,-305,161
80,-79,-226,168
81,256,-187,156
82,-388,-134,104
83,-68,407,195
84,473,-10,9
85,123,270,9
86,-105,45,103
87,-463,357,143
88,-236,477,46
89,304,-314,63
90,451,357,88
91,205,244,5
92,98,-224,49
93,-223,463,153
94,-6,-4,14
95,387,326,194
96,-480,-302,182
97,193,7,58
98,470,380,111
99,-483,-91,37
100,300,-10,124
