amount=500
max_size=500
max_weight=30
node,pos_x,pos_y,weight
1,-211,20,30
2,-237,248,29
3,295,155,0
4,257,227,18
5,197,414,11
6,9,-469,22
7,-60,88,18
8,-349,-41,28
9,322,321,26
10,201,103,27
11,-272,74,18
12,-272,-43,29
13,227,-234,26
14,30,130,1
15,-133,350,13
16,-233,183,9
17,73,-296,2
18,450,65,1
19,288,-268,7
20,-149,-1,28
21,113,376,23
22,48,-77,2
23,476,-353,21
24,330,-420,13
25,88,-334,0
26,85,30,30
27,-223,220,20
28,122,-173,12
29,-284,-260,22
30,333,223,21
31,96,171,9
32,433,-353,3
33,-74,369,20
34,154,-213,27
35,-421,-152,2
36,204,-280,0
37,190,36,27
38,462,-159,16
39,-294,231,2
40,-261,-315,21
41,106,436,12
42,-26,476,10
43,-158,57,10
44,-17,-310,24
45,-423,228,25
46,-145,326,15
47,-118,-348,11
48,235,96,1
49,461,77,29
50,317,-97,9
51,-285,180,8
52,167,307,8
53,-180,-102,28
54,310,457,24
55,-300,-191,21
56,232,158,8
57,420,-98,16
58,-390,440,20
59,12,-43,0
60,-460,-332,3
61,172,487,16
62,-438,-439,7
63,178,-28,24
64,316,-293,20
65,270,-157,21
66,-221,335,7
67,178,-243,10
68,194,480,22
69,-463,23,21
70,-378,227,0
71,307,6,12
72,-469,323,21
73,-20,-9,15
74,-401,297,10
75,-313,-81,18
76,-265,-186,4
77,-4,314,10
78,3,-26,3
79,-459,246,15
80,-294,-179,29
81,105,-175,27
82,270,-261,17
83,-310,-91,12
84,413,-52,19
85,110,-107,6
86,196,429,14
87,-102,460,1
88,336,391,16
89,-420,-144,21
90,212,-153,22
91,-419,-133,8
92,36,166,24
93,-58,427,28
94,-413,-442,29
95,-30,-47,7
96,27,-179,24
97,-113,174,7
98,-186,282,10
99,175,294,21
100,476,-182,7
101,-435,-216,23
102,1,221,11
103,62,377,19
104,-316,474,15
105,-138,-482,22
106,-215,-432,9
107,90,-372,30
108,-417,457,3
109,487,-274,9
110,-144,470,28
111,38,344,16
112,175,305,1
113,140,-298,1
114,481,211,19
115,-39,432,10
116,150,-45,8
117,440,-274,24
118,-429,-102,3
119,-238,-95,7
120,224,-102,11
121,144,-343,14
122,300,-66,22
123,191,13,0
124,330,345,7
125,-91,119,1
126,-55,253,19
127,-335,-266,1
128,17,471,14
129,-398,-17,28
130,161,-250,5
131,336,-310,29
132,64,278,10
133,-42,-314,1
134,485,17,21
135,-52,-120,17
136,135,-333,16
137,272,-300,17
138,-320,-47,1
139,84,-284,30
140,178,-316,27
141,-30,410,6
142,309,-167,18
