amount=1000
max_size=500
max_weight=25
node,pos_x,pos_y,weight
1,199,334,9
2,-7,-239,23
3,184,-201,12
4,-440,-215,24
5,150,457,22
6,402,-250,6
7,-223,-186,11
8,456,443,21
9,16,225,3
10,-242,-343,19
11,-111,27,16
12,-65,-493,23
13,-194,407,6
14,-351,-467,14
15,-56,108,10
16,-359,-15,8
17,394,-295,18
18,-305,-192,7
19,-81,-313,24
20,472,-206,12
21,94,74,23
22,428,-62,16
23,36,328,11
24,494,129,15
25,-240,-423,14
26,-394,-141,19
27,380,-467,20
28,-252,419,13
29,-338,-492,7
30,396,14,6
31,-69,187,2
32,152,-186,2
33,443,-388,15
34,327,-198,7
35,89,-177,0
36,53,-497,5
37,-97,271,17
38,48,57,22
39,-106,242,25
40,-221,21,13
41,79,-366,14
42,326,90,2
43,491,-439,12
44,236,-59,11
45,70,-53,5
46,-86,-348,9
47,250,200,2
48,445,-289,17
49,-25,180,22
50,-356,-332,10
51,130,-197,21
52,-321,53,7
53,-212,-464,4
54,360,434,7
55,-401,28,0
56,-381,276,5
57,-431,-342,11
58,137,-462,21
59,-136,-2,23
60,402,477,5
61,315,-290,23
62,97,-36,18
63,153,394,6
64,-261,430,3
65,-15,442,22
66,-408,3,19
67,250,-223,17
68,251,133,10
69,-227,-24,5
70,-304,-14,0
71,-381,-133,12
72,-239,482,25
73,294,175,4
74,-362,494,8
75,-93,449,8
76,414,40,4
77,-65,-428,10
78,-495,-111,7
79,-23,24,0
80,-346,483,13
81,-162,-75,22
82,-330,106,0
83,-409,-459,14
84,-124,298,6
85,74,447,6
86,-31,-190,7
87,153,229,14
88,-15,451,11
89,-138,39,7
90,-74,-309,9
91,-138,-431,3
92,-368,-291,20
93,56,500,16
94,208,-233,13
95,-479,-14,14
96,-29,233,3
97,-359,402,0
98,-481,360,17
99,-367,-263,21
100,220,135,24
101,-166,-491,6
102,-395,435,9
103,-463,287,19
104,483,-338,1
105,-481,-391,8
106,428,-307,22
107,-244,-73,23
108,-216,383,5
109,200,430,19
110,150,477,17
111,-416,187,24
112,417,246,9
113,13,392,1
114,-491,91,6
115,247,486,12
116,426,-359,2
117,306,-417,20
118,383,-232,2
119,-210,190,6
120,400,167,24
121,-324,-119,15
122,-416,287,9
123,361,-500,12
124,53,-365,3
125,-360,189,14
126,-271,102,21
127,329,-431,23
128,168,-35,12
129,44,121,20
130,-36,-339,22
131,-227,425,14
132,65,-262,6
133,-238,396,14
134,-463,-52,17
135,-474,-248,9
136,-419,-354,4
137,-171,-256,10
138,-496,-4,4
139,441,324,14
140,-18,407,13
141,71,313,12
142,101,487,8
143,-137,-280,18
144,41,-79,16
145,89,-297,22
146,-158,222,20
147,435,-60,0
148,473,24,14
149,334,-354,11
150,336,182,15
151,428,140,10
152,-301,-262,1
153,108,-200,15
154,-192,84,9
155,172,-227,19
156,-259,239,8
157,66,446,4
158,215,-178,25
159,208,-400,15
160,417,319,21
161,457,441,1
162,-471,-351,8
163,131,-382,23
164,-354,-153,20
165,-415,-267,9
166,-224,368,6
167,-488,-92,22
168,395,204,0
169,362,-397,9
170,429,194,12
171,-68,-159,15
172,-491,-192,2
173,281,464,7
174,170,427,1
175,-79,-164,3
176,-135,193,5
177,274,-139,4
178,-405,-182,24
179,-424,303,16
180,-89,-215,24
181,410,-168,6
182,152,-69,5
183,-255,-129,4
184,-33,451,7
185,398,343,24
186,223,429,16
187,434,148,13
188,-342,181,4
189,18,218,16
190,89,-318,15
191,-381,-105,5
192,243,499,13
193,420,480,7
194,-347,-341,6
195,168,-74,0
196,-52,-360,17
197,335,-38,12
198,-117,396,22
199,-392,72,18
200,-54,-8,10
201,-360,-311,22
202,-106,-175,10
203,86,254,23
204,117,471,13
205,-166,442,25
206,423,288,19
207,-75,18,9
208,-121,409,23
209,468,-35,16
210,184,280,4
211,167,-282,10
212,-290,-104,6
213,-424,-405,20
214,376,-91,9
215,-293,229,14
216,-21,-391,8
217,-170,408,25
218,210,-305,1
219,472,-433,6
220,-327,-210,16
221,-66,239,16
222,-396,-338,16
223,-130,-451,10
224,452,-46,11
225,337,337,10
226,-372,33,21
227,130,-52,18
228,1,92,15
229,376,114,23
230,459,325,1
231,281,-415,7
232,-317,-342,19
233,323,346,22
234,-18,-109,9
235,249,267,3
236,-176,-163,8
237,99,449,11
238,246,-126,5
239,285,139,16
240,480,350,6
241,-296,381,9
242,352,-32,22
243,-37,-142,9
244,245,407,17
245,282,-209,16
246,-431,-314,20
247,30,-15,8
248,339,372,9
249,22,23,19
250,-121,103,13
251,-188,244,16
252,263,317,22
253,33,-222,25
254,320,412,21
255,-31,310,6
256,373,49,8
257,-123,249,25
258,-210,336,15
259,-426,-99,3
260,178,224,16
261,327,350,11
262,253,300,16
263,71,-114,24
264,-26,404,6
265,-146,240,8
