amount=50
max_size=500
max_weight=250
node,pos_x,pos_y,weight
1,-185,-236,55
2,-31,-221,163
3,500,-206,153
4,216,245,18
5,-235,285,91
6,-119,-39,5
7,499,350,159
8,0,476,84
9,224,63,180
10,-126,-121,63
11,-84,-267,153
12,-353,-384,14
13,101,479,214
14,305,-200,228
15,156,-418,164
16,141,11,99
17,159,189,38
18,323,-417,205
19,-345,-317,105
20,232,65,144
21,329,-354,105
22,-414,142,208
23,265,-475,158
24,-136,56,100
25,281,-420,10
26,222,182,89
27,-379,-415,53
28,481,-139,135
29,-231,-175,118
30,20,405,23
31,129,-398,89
32,226,-126,175
33,247,355,105
34,-376,-235,83
35,-232,107,63
36,388,432,188
37,56,-8,85
38,42,-437,84
39,-58,339,78
40,283,-240,236
41,99,-321,161
42,-3,-257,165
43,-218,327,32
44,-495,232,130
45,440,172,118
46,-324,329,45
47,-449,377,41
48,492,-441,114
49,-420,-57,245
50,34,456,233
