amount=50
max_size=500
max_weight=30
node,pos_x,pos_y,weight
1,-186,-415,3
2,-168,-369,11
3,156,187,11
4,-343,13,1
5,-273,12,6
6,-168,486,19
7,315,-467,13
8,-57,305,28
9,44,-120,9
10,-234,-442,30
11,-245,-281,1
12,-38,-85,15
13,220,-106,27
14,466,181,0
15,227,112,13
16,252,-43,17
17,-460,-219,22
18,70,-344,21
19,-438,276,8
20,-416,28,27
21,401,-81,3
22,-80,-56,28
23,-320,91,21
24,-365,-243,16
25,241,28,21
26,203,187,16
27,-291,334,5
28,118,-182,3
29,254,-303,26
30,169,-137,26
31,-176,401,27
32,-66,-313,23
33,-149,-88,7
34,-398,-268,14
35,-354,-339,22
36,-345,255,28
37,-272,52,18
38,237,72,3
39,437,-209,30
40,374,-209,15
41,208,-276,0
42,-374,-469,14
43,125,176,18
44,-425,347,10
45,-123,-368,24
46,369,-146,19
47,116,-161,27
48,-142,-417,28
49,-403,-339,14
50,140,86,27
