amount=2500
max_size=500
max_weight=25
node,pos_x,pos_y,weight
1,-125,228,22
2,401,-104,5
3,-186,-4,11
4,-139,-427,14
5,276,-416,6
6,-118,-77,4
7,348,-221,2
8,-193,-352,25
9,416,-178,22
10,-387,-246,8
11,126,-296,22
12,-253,-146,19
13,-392,267,15
14,456,-306,21
15,459,-486,12
16,339,-487,1
17,149,-92,21
18,494,257,22
19,-18,-225,18
20,433,-218,17
21,59,463,10
22,-495,10,11
23,-371,341,6
24,-477,-417,9
25,-264,-387,6
26,125,230,8
27,238,34,2
28,-304,-120,14
29,147,43,21
30,466,15,14
31,-78,-492,19
32,-400,402,17
33,-495,42,21
34,258,-482,6
35,-373,-441,24
36,-329,253,14
37,36,-403,5
38,-292,37,1
39,221,412,7
40,266,37,18
41,-130,4,21
42,134,-391,1
43,460,-240,6
44,185,-127,8
45,324,362,25
46,-357,398,1
47,-181,-30,4
48,428,233,8
49,-352,-348,10
50,-351,216,12
51,-65,303,19
52,-314,480,4
53,338,301,17
54,418,-472,7
55,123,351,12
56,232,-318,19
57,206,-178,25
58,-189,-179,21
59,-22,316,24
60,218,-210,16
61,-276,-226,6
62,205,113,23
63,-476,-263,10
64,-402,315,3
65,321,2,20
66,81,-415,11
67,-66,-454,3
68,-72,460,15
69,-10,-102,15
70,-413,264,21
71,-337,215,14
72,244,73,4
73,346,-398,25
74,374,-499,15
75,-287,-203,23
76,26,268,6
77,-468,-250,20
78,124,-417,6
79,174,-209,17
80,-387,-233,13
81,446,-14,6
82,-324,212,6
83,142,487,19
84,-209,291,5
85,-319,-331,1
86,332,-203,22
87,184,444,6
88,466,-270,10
89,297,-484,2
90,440,-213,1
91,482,-93,17
92,251,333,23
93,-409,290,14
94,181,452,7
95,353,-124,0
96,95,-106,15
97,302,262,22
98,458,304,11
99,-329,-68,18
100,472,365,17
101,-363,-313,10
102,403,431,2
103,256,-206,3
104,170,-500,19
105,-125,108,8
106,-240,232,20
107,304,73,14
108,-450,13,10
109,261,-399,9
110,225,108,16
111,171,-442,19
112,168,482,21
113,-52,-130,11
114,471,302,20
115,-479,-213,1
116,-409,-484,9
117,322,497,12
118,-494,25,4
119,-113,259,25
120,351,397,20
121,-70,157,8
122,-249,-221,12
123,120,232,25
124,-252,386,7
125,387,120,21
126,-347,328,21
127,5,-493,10
